"id","num_orders"
1028232,102.17895
1127204,90.27357
1212707,137.045925
1082698,68.764095
1400926,59.425095
1284113,213.67023
1197966,265.23561
1132739,204.87816
1057981,93.3786
1095932,144.89799
1454421,145.695195
1149765,188.53635
1166964,384.507135
1010949,289.897185
1409575,144.024135
1181616,17.7687
1456020,191.022645
1264395,289.712895
1472931,86.603295
1412015,106.33026
1461229,170.763795
1014564,214.714395
1485914,67.1832
1345389,90.993735
1006833,134.673825
1174921,29.12064
1175393,19.29465
1152412,25.549035
1497398,29.62464
1363486,24.828135
1366766,32.773755
1192413,19.480005
1319547,260.55564
1337684,69.34305
1479766,194.89665
1460444,1671.19968
1139730,539.791365
1115056,348.39837
1335827,135.476265
1385333,710.20086
1096323,774.311580000001
1230693,858.10173
1027016,142.35777
1181520,87.860625
1306234,163.16844
1271440,1020.776475
1269834,512.22204
1176823,1039.031475
1193098,117.154995
1034878,63.028215
1010243,125.941365
1451807,86.035875
1016845,99.370245
1198021,213.25158
1413802,85.1181750000001
1231223,76.95147
1274226,639.331875
1425142,539.136855
1211593,234.685425
1419190,46.19586
1180223,59.955495
1194932,116.68752
1323477,166.606905
1371595,201.160095
1171521,131.475255
1052384,211.671165
1060921,84.664125
1261811,142.277865
1246502,212.18958
1497466,384.358905
1232717,30.964485
1136112,38.78214
1196334,362.38446
1349533,240.23253
1463406,258.22506
1447686,241.508775
1336105,103.718205
1012855,394.827375
1180646,359.581935
1062490,261.00984
1098228,1366.28991
1101375,399.382395
1400016,379.605585
1439889,74.93742
1408468,65.4459
1044490,66.13209
1290002,795.14934
1190633,659.98155
1040430,1012.57782
1049366,86.0926200000001
1224120,121.07781
1293810,200.419605
1197335,722.9841
1323989,498.833985
1129467,1059.49635
1229328,56.91723
1164395,62.958585
1217722,40.125075
1171266,81.1510949999999
1024905,67.26207
1343027,144.472935
1141892,74.69307
1302404,47.914125
1170447,517.530255
1140772,652.87737
1103484,231.025785
1387134,23.01462
1117711,15.804045
1472121,36.8307
1289523,244.47156
1091114,439.56516
1043572,490.730535
1103283,223.481295
1265051,110.457045
1168741,116.11344
1052776,108.27144
1206564,163.72044
1302153,246.911145
1083754,44.875995
1097952,32.897295
1251605,23.56281
1333032,387.074355
1086936,218.393025
1088412,156.183885
1236400,46.70454
1244516,93.4218
1380381,80.210805
1495062,393.96039
1439647,214.79379
1019214,292.128015
1316160,739.444395
1022008,348.824655
1138248,270.761415
1052922,33.855705
1181474,68.9433450000001
1046475,41.386965
1216688,328.974825
1067565,504.82749
1008328,395.79153
1430287,134.97924
1406716,176.466375
1105380,128.25927
1248694,360.331125
1252163,248.50569
1443474,446.25585
1033716,69.161295
1300295,59.570055
1311882,49.84563
1257968,56.3691
1226362,119.6037
1030655,130.22976
1210527,48.68028
1278927,36.95418
1232239,58.720305
1133067,297.56295
1382522,482.150475
1219136,250.60542
1498130,33.601545
1251629,37.702965
1032092,23.22963
1249865,127.21581
1207630,171.77127
1144733,144.30939
1436768,43.88586
1148964,35.009925
1237346,150.767355
1206015,41.23407
1105113,212.2194
1430481,31.75023
1001589,72.148335
1224132,54.56949
1074380,334.0188
1097109,360.16794
1211246,181.851885
1390579,294.60558
1473058,301.781895
1186964,107.39553
1222837,42.84048
1342393,43.771095
1170472,247.699725
1170791,276.06951
1046653,280.288455
1195179,159.497535
1332509,127.64562
1438300,120.55347
1435748,416.020095
1052668,232.17324
1227060,341.51586
1342252,106.536975
1143109,48.18084
1394807,128.226795
1448374,54.358545
1028680,101.169
1079691,87.670125
1402079,34.07268
1424446,57.17958
1133297,318.276375
1076214,652.98315
1173823,317.463975
1488584,19.58304
1072892,29.410605
1277491,23.106825
1290868,163.006995
1048888,229.36617
1138141,251.601195
1473125,29.337045
1196726,26.41539
1179278,25.01238
1282305,39.71451
1359903,48.462225
1355143,122.093475
1095889,40.47891
1250665,116.503245
1426610,47.867775
1390104,369.56361
1051519,381.455265
1337584,197.275155
1332667,2490.15897
1075942,1186.8201
1109804,592.640505
1316684,68.601285
1248315,177.167055
1113611,120.753045
1110867,851.780565
1247289,906.759675
1022953,1730.18292
1160081,95.412075
1120430,113.14041
1487280,210.72879
1020081,1845.75576
1329551,850.465335
1137610,1552.20546
1072530,238.430595
1115708,244.13412
1203532,139.77504
1494216,283.03923
1116374,273.34803
1032497,133.232715
1413930,250.83978
1136118,153.002025
1254872,127.866795
1398257,1047.788595
1364001,1014.87417
1369843,372.17088
1379360,86.1409050000001
1442044,72.3321750000001
1285290,83.781645
1129707,413.424855
1086750,453.27501
1147262,515.26263
1025605,184.74189
1414158,176.109225
1082079,179.105415
1467510,178.427985
1374892,219.281595
1171352,590.7531
1213246,58.00926
1279131,143.76822
1256386,60.888735
1234220,1730.017425
1008206,456.070605
1267686,341.383215
1470186,91.600815
1233312,238.27419
1279379,122.69316
1431703,873.14112
1339938,389.681055
1010552,338.2368
1237947,718.827105
1175098,526.17405
1066074,197.588955
1045918,56.91969
1226081,45.04968
1148633,405.61416
1441429,444.814965
1291804,481.8978
1305194,90.47268
1327840,98.61117
1320801,171.38238
1467101,200.135055
1473989,228.61146
1466330,448.872614999999
1390856,23.88945
1120639,46.35276
1279275,69.7300200000001
1166120,114.45195
1128404,51.91665
1252491,31.765665
1328056,418.35141
1452353,325.14585
1353276,108.11736
