"meal","RMSLENormal","RMSLEreduced","RMSLEAugmented"
"2867",0.660526107749241,0.708620196937634,0.627885124904223
"1445",0.601004144281426,0.639668896100009,0.579273906852521
"1885",0.304400584859568,0.325853560543048,0.315317734543488
"1803",0.445290499174457,0.477555179244633,0.436069372991729
"1525",0.498668103699994,0.515810575970201,0.501319357794836
"1962",0.441815605168892,0.441043917865505,0.46338258668008
"1198",0.42804971270534,0.471487563960887,0.408190287999359
"2760",0.647965939257944,0.689622319944012,0.622610465585693
"2444",0.585031924842198,0.623397425031397,0.563818122194551
"1438",0.431559317990782,0.453047485731604,0.43318024905955
"2704",0.460207168370192,0.467996325197435,0.472959921024229
"1311",0.431425718786998,0.465148568489131,0.421319560364295
"1558",0.491031118756603,0.488355453966576,0.51211319650444
"1902",0.538512383085856,0.545905364577924,0.547897939464916
"2581",0.461186661045379,0.438949162698088,0.49967317849655
"2539",0.584074275731583,0.551929550035608,0.62683451013178
"1062",0.284343550235229,0.31660995997252,0.286893635614297
"1247",0.52417100356969,0.537099261307205,0.528928929980875
"1770",0.577772176523634,0.621509030291443,0.550898469841396
"1727",0.740947352482451,0.824662200345782,0.670348759472731
"1847",0.516846384076184,0.556936944579209,0.496575739041568
"2126",0.684630961127015,0.735730393433126,0.648578469188374
"2956",0.552900167801545,0.580155967476579,0.544059167571598
"1109",0.37682653433405,0.43219000926884,0.34708465244316
"2494",0.45545991021859,0.483454764049055,0.449705588602458
"1971",0.739787506162975,0.801556926064614,0.692721433674219
"2640",0.562164194312737,0.587476036190291,0.55498806780236
"1754",0.330641110190513,0.380411754241459,0.310369327723781
"2577",0.526495504783588,0.546749353509837,0.525009062930361
"2826",0.394670062167146,0.435236200343509,0.379810382811294
"1993",0.526038221404392,0.472778231400423,0.58637585777106
"2322",0.722457009265594,0.786897083229833,0.672610147148797
"2631",0.523162745861693,0.542809658402279,0.522772742395619
"1230",0.717096662642028,0.775574497250858,0.673495915525569
"1216",0.637908709058549,0.637245624515671,0.652511310419675
"2290",0.442723298312525,0.484168850228557,0.424576299100867
"1248",0.597783916298208,0.632381778993543,0.580517545703501
"1778",0.357255617684729,0.37057256026889,0.371222890365621
"1878",0.52388335130504,0.539987111795915,0.5264566633495
"2306",0.783679085063472,0.839594896904642,0.74118457214882
"1571",0.533145530414259,0.541686928888422,0.542476105425074
"2304",0.609025475236828,0.64373313578302,0.59122139935705
"1207",0.697262467757457,0.755354931944667,0.654336493873465
"2707",0.576808967504192,0.514985495842962,0.642469896297707
"2139",0.571992144685622,0.613184353783759,0.548366396975309
"1543",0.530918512671239,0.537029595841032,0.542550169011028
"2664",0.46316728643924,0.510792810609276,0.437578129405109
"2490",0.479660593958553,0.533466149807927,0.446806537996069
"2492",0.603867868096919,0.636264906792559,0.588324274434675
"2569",0.44722371487825,0.505422808881432,0.410822698909196
"2104",0.531969226063951,0.526543126833107,0.553530403924454
